match_id,home_team,away_team,start_time,sport,league,odd_id,market,bet_name,american_odds
nfl-2026-09-13-kc-bal,Kansas City Chiefs,Baltimore Ravens,2026-09-13T20:25:00+00:00,Football,NFL,338bcc06e1de1dd3,player_rushing_yards,Lamar Jackson Over 45.5,-110
nfl-2026-09-14-det-gb,Green Bay Packers,Detroit Lions,2026-09-14T20:15:00+00:00,Football,NFL,0730f565efff6ff7,moneyline,Green Bay Packers,-105
nfl-2026-09-14-det-gb,Green Bay Packers,Detroit Lions,2026-09-14T20:15:00+00:00,Football,NFL,47a0962eff4086a4,moneyline,Detroit Lions,-115
nfl-2026-09-14-det-gb,Green Bay Packers,Detroit Lions,2026-09-14T20:15:00+00:00,Football,NFL,09a7b1a5787636fa,spread,Detroit Lions -1.5,-110
nfl-2026-09-14-det-gb,Green Bay Packers,Detroit Lions,2026-09-14T20:15:00+00:00,Football,NFL,79ee0ef4b7c529ac,team_total,Detroit Lions Over 27.5,-110
nfl-2026-09-14-det-gb,Green Bay Packers,Detroit Lions,2026-09-14T20:15:00+00:00,Football,NFL,3212cbeadd825098,player_receiving_yards,Amon-Ra St. Brown Over 76.5,-110
nfl-2026-09-17-sf-sea,Seattle Seahawks,San Francisco 49ers,2026-09-17T20:15:00+00:00,Football,NFL,94acd5ceeb213beb,moneyline,Seattle Seahawks,105
nfl-2026-09-17-sf-sea,Seattle Seahawks,San Francisco 49ers,2026-09-17T20:15:00+00:00,Football,NFL,8fad17696369bd4a,moneyline,San Francisco 49ers,-125
nfl-2026-09-17-sf-sea,Seattle Seahawks,San Francisco 49ers,2026-09-17T20:15:00+00:00,Football,NFL,dc933c78290f7a16,total,Under 43.5,-110
nfl-2026-09-17-sf-sea,Seattle Seahawks,San Francisco 49ers,2026-09-17T20:15:00+00:00,Football,NFL,42d254561bcf5e08,player_anytime_td,Christian McCaffrey Anytime Touchdown,-130
nfl-2026-09-20-buf-cin,Cincinnati Bengals,Buffalo Bills,2026-09-20T18:00:00+00:00,Football,NFL,ea1b84dc8b342af1,moneyline,Cincinnati Bengals,125
nfl-2026-09-20-buf-cin,Cincinnati Bengals,Buffalo Bills,2026-09-20T18:00:00+00:00,Football,NFL,7dfe1f0da175b518,moneyline,Buffalo Bills,-145
nfl-2026-09-20-buf-cin,Cincinnati Bengals,Buffalo Bills,2026-09-20T18:00:00+00:00,Football,NFL,05fc1a830a300104,spread,Buffalo Bills -3.5,-105
nfl-2026-09-20-buf-cin,Cincinnati Bengals,Buffalo Bills,2026-09-20T18:00:00+00:00,Football,NFL,52f96609f70bd7c6,player_receptions,Ja'Marr Chase Over 6.5,-110
